,text,Language,Language_index
0,seta to khubi bhaal have!,ben,0
1,m mase kono ullekhayogya tapapravaher dasha anubhav kara yyani.,ben,0
2,ei sabkatai darun lagno shunate.,ben,0
3,"tar prabandh, ya ki na tar agami bayer ekati uddhrutansh shoshankari chalachchitrer antarbhom vishwer ekati spost chhabi pradaan kare.",ben,0
4,"bartaman mammla, njity taar ekhtiar parityag kareque evan ekati viseshx prashasonic comiti upare bichaarasankrant karmkander bhaar nyast kareque.",ben,0
5,bharatvarsh halo vishal baichitrya evan baiparityer desh.,ben,0
6,"tahale, katakshaner path?",ben,0
7,"yaihok, bazarguli aapnar bikri vruddhite sahayak also, seguli ekati techsi vyavasa garh tulte evan aapnar nijasv bazaryogya brand sristir sahayak naya.",ben,0
8,kintu aapnake etao nischit karte have yate o byre ya evan anaya bachchader saathe khele.,ben,0
9,"kintu, besamrik parishebaguli, pulish evan sena chhil musalmnder nickktar sanrakshan.",ben,0
10,karte have! aami chai ei abhijeetata ekadam aladai hok.,ben,0
11,tara kii kii pradarshan kare?,ben,0
12,nishchalai anek daam padese.,ben,0
13,"han, drushyati khubi nrushans aar baparta hachche ye eta vastav ghatnar upar vitti kare tiri kara yar janya dekhata aro kathin hay the, abhinaya kara to sede dao.",ben,0
14,"aamir khan, yini era ag kakhano tar abhinaya jivan kono chhabir punrnirman karennie, prathamta sanshayapann chhillen chhabita kara nie, kintu tamil chhabi 'ghajani'-r asal abhineta surya, yini tanke balesillen, ""ekamatra tumii ei charitrer prati nyaibichaar karte parve"", sekatha shune trini ashvast han.",ben,0
15,"han, aami seconds yar parchi.",ben,0
16,"achha, eta kaaj haoya uchit.",ben,0
17,aami itimadhyei ei jyagagulo sampark anek padhesi aar agerbar amar aurangabad yawar samay chhil na.,ben,0
18,"ei shlokaguli madhye koekatite udghatner dharnti ullikhit ach, yeti halo jarathushtrer madhye shuddh manser pravesh evan manabjatike trini kii balben ta bale dewa.",ben,0
19,"bhalo samajik maryadasampann ingrej mahilara chhillen viral; shalyachikisak jan stuart 1785-te kanpur thek tar vaike lekhen: ""ekhankar mahilader aneke ladgate hiler mahilader tupi presentakari dokan thek evan keu keu to kavent garden evan old druri [18m shatabdeer shesher dike london patitavrittir suparichit elaka] thek aasa duhsahasini matra.""",ben,0
20,yate tumi beshi kare relax karte paro.,ben,0
21,yaoyar path ki amra chhabi tola chada aar kichu karte pari?,ben,0
22,okhankar islami sthapatya keman?,ben,0
23,bai!,ben,0
24,"shubh din, bhadramahodaya, artist's galariate aapnake swagatam!",ben,0
25,era madhye tomar pachhandai baa ki has?,ben,0
26,charti mul prastab chhil evan bivinn kshetre unnayaner agragati sang sang chudanta vyabaharguli paka kara have.,ben,0
27,british raza pratikruti pratisthapit karesil ashoker singh rajdhani.,ben,0
28,sab abhijetakei amra baliuder sang tulana kari.,ben,0
29,han aar eusos hal smacdown tag daler champiyan evan ark-bro hal r tag daler champiyan.,ben,0
30,vyaktigatvave shakha yawar prayojan ach ki?,ben,0
31,2006-era ekati kamanwealth gams evan 2010 o 2014-r du'ti eshian gemse bhartiya jatiya daler pratinidhitbakari pratham mahila basketball khelowar trini.,ben,0
32,evan 21ta gaan salut die rashtrapatike samrik abhivadan janano hayes.,ben,0
33,"udaharanswarup, siman blackbern evan jegawan kim dwara pradutt sangyatii halo jan palkinhorn-era paribhasha 'dharnamulak' athva 'gyantattvik' khandtabad: sei dharner khandtabad yeti ek dharner adhivachaner sang yukt tathy athva astitvagulike anaya dharan thek grihith anyanya tathy athva astitva die pratisthapit karaar caryakramer sang samparkit haowar fale tader madhye ekati sampark sthapan kare.",ben,0
34,"na, eta snatak o snatkottar stare carigari evan peshajanit corsegulikeo kabhar karbe.",ben,0
35,"ei prakriar vishad bivaran amader hiseber notevite pawa yave, daya kare eta dekun.",ben,0
36,"aakarshanasamuh, thakar vyavastha, sahayogi suyog-suvidha evan parikaamo halo paryatner mul upadan.",ben,0
37,hum...tahale thukapata keman have?,ben,0
38,taka tolar paddhati ki seta aami thik janina.,ben,0
39,1999-e motamuti 16 laksh paryatak cuba bhraman gie mott praia 190 koti dollar rajasav upadan karen bale cubar aadhikarikder anuman.,ben,0
40,"amar bandhavi taar border pariksha satyii bhalo karesil, tai yekono yogyata-vittik praveshikate se tekka dite parve.",ben,0
41,"197-era gazette bijdhpti jana ye, 2020-r madhye deshiya shabakder hay giesil.",ben,0
42,apnader gram ekhano percent conoo paridarshan hoyni?,ben,0
43,"paryaton shilper unnayan, parikalpana o niyantran vyavastha chada samajik, sanskruthik evan arthnaitik vikrutir fale bahat hate par ya paryatak o sthanian manusher samparker madhye die prativalit have.",ben,0
44,etake puttu bala has aar amra sadharant eta kalo chola die khai.,ben,0
45,"2014 saler kamanoelth gemase mahilader 55 keji freestyle vibhager quarter final babitar pratham pratipaksh chhil skatlander cathrin marsh yake se 92, 40 (shrenivinyas paent 4:1)-e prajeet kare.",ben,0
46,vichakshan doctor naki vichakshan rogiah ke car janya siddhanth neya?,ben,0
47,"eta ag haley sambhava hato, kintu ekhan eta nishidh kaaran kichu samay ag ekata durjetna ghatesil.",ben,0
48,aami satyii khub kautuhali hay padhesi.,ben,0
49,"saptaher mazkhane yadi keu aases evan booking kare ya, seta ki have?",ben,0
50,tumi ama jignes karte parte tomar kono kichu nie sahayya lagave ki na.,ben,0
51,eta shudhumatra eman kono jaga thekes dakhil kara yave yekhane ye kono ek paksh antatapakshe tirish din thekese.,ben,0
52,ekati matra channel kramavardhaman darshaker chahida pooran karte gie doordarshan anusthan khub shighrai taar shesh sima paunche ya.,ben,0
53,"mati manchitrer madhye anchalti prakritik bhugol, jalbayu evan udvidsmuh vittik bivinn dharner mati chihnitkaran, barnana evan chithran, jayga gie gaveshanar madhyam nischitkaran o gaveshanagarer tathy evan ek pramanya mul manchitre chithran antarbhukt.",ben,0
54,amar baba ekajan andh bhakt chhillen.,ben,0
55,ganti sarasari haowar karna kahinitike natki kare tulte sahayya karesil.,ben,0
56,"ei shapathe, nijer inat vivahit stree chada grihasth aar karo sang conorkam yaun sampark lipt hate parven na.",ben,0
57,"fasal-poorvavarti evan fasal-paravarty caryakramer janya runer madhye tader nijasv fasle kittnashak chhadano, nidan dewa, fasal tola, bachai, jharai evan paribahan antarbhukt thake.",ben,0
58,"punarnvikaran vrutti chadao, natun vrutti hiseve mott 60,000 vrutti vitharan karaar lakshya rakha hayes.",ben,0
59,"1261 (1999), 1265 (1999), 1296 (2000) evan 1314 (2000)-era nirna anusmaran karaar pare, 2000 saler 31she october jatisangha nirapatta parishad dwara sarvasmmatikram naari, shanti o nirapattar upar jatisangha nirapatta parishader 1325 (es/aar.i.es/1325) nirna newa hayesil.",ben,0
60,agamikal ambedakar jayanti!,ben,0
61,"2022 saler 12i august, ei upalakshye smiti thek ekati raktadan shibirero vyavastha kara has.",ben,0
62,"o, achha.",ben,0
63,"khar, yeta ekata asamiya khabar, shuru janya ekata bhaal pad.",ben,0
64,"sutarang, irane janapriya samaj madhyamgulo block kara hayes evan irani vikshover karna irane internet praharta bede gamee.",ben,0
65,"ei padakshepgulite bajater samast dikke antarbhukt karte have, yeman bhartuki, kar, vyaya evan binioga kamano.",ben,0
66,charge o bhada kat?,ben,0
67,"avedankarira, yader badus 40-era beshi naya tader kono medical sartifiketer prayojan nei.",ben,0
68,amar kache campas nirdeshikar ekata cafe royas yekhane eta bala ach.,ben,0
69,ride yawar samay bar karbe ki kare?,ben,0
70,pratham 7.5 lakh aar pare 15 dekhachque.,ben,0
71,"bala has ye, trini ei vishwer aadhyatmik dicti parivarte paarthiv dicti alokit karellen evan tai jarathushtra dwara nindit.",ben,0
72,amanki sathik jal sarvaraher davite ei afiser saman amader ekabar pratibad janate hayes.,ben,0
73,"chalo apeksha kari, dekhi.",ben,0
74,"kono credit card acount ekamatra tindiner thek beshi samay dhare parishodhatit thackle, setic parishodhatit hisabe bank amanath tathy sansthagulike (siaisy) janave athva jarimana jari karbe yeman parishodhe deri jarimana ityadi.",ben,0
75,aami visesh kare avak haesi ye se taar pratham chhabitei katta bhalo kareque!,ben,0
76,"kamanoelther byrer deshgulike sadasya haowar suyog kare dite imperiyal cricket kanapharence namoti antarjatik cricket council (paravartikale, council)-e roopantarit kara has.",ben,0
77,minar veshirabhag samari vid tave visesh kare november thek marcher madhye veshi kaaran eta dekhar atai sabche bhalo samay.,ben,0
78,"bahu grambasir tvaker samasya hate dekhe, amra eta vyabhhar kara bandh kare diesi.",ben,0
79,"eter byreta khasta, bhitarta naram aar rasalo, evan vetrer dhonyat gandhata khub bhaal.",ben,0
80,asha karchi ekata puraskar yen paai.,ben,0
81,anaya kono buthei tumi bhotere yogyata pave na.,ben,0
82,kuchkawaj shuru hay gamee?,ben,0
83,mughal shasan yug bahu upadalian sikh samprada gathit has.,ben,0
84,viseshbhave sakshamder bhot dewar janya visesh suvidha ach ki?,ben,0
85,ei samargulote charam abhawa paristiter sammukhin haoya sthangulor madhye orisa ekata.,ben,0
86,nathibhukti karaar samay ki amader kono medical sartyphicket dite have?,ben,0
87,haha! seta tader barhti usah deya.,ben,0
88,"han trini karechillen, tarapar iees afiser brahma datter bhumika mithun chakravartyo achen.",ben,0
89,"bhanuatu evan saloman dwipapunj prakritik aakarshaner dik die cono anshe kam naya, tave yehetu ei duti desh paryatak kam has sehetu ei anchaler aakarshangulike veshirabhag kshetre yatharth muly dewa has na.",ben,0
90,"august 2006-e uttarer gricetio aantansamyukta has, yar fale ekasang samyukta evan ek companke kaaj kara ekati centrian grid rupayit has.",ben,0
91,"muridder sakhana magate diop namer ekajan mahila marabut chhillen, yini uttaradhikar sutre tar pitar padprapth.",ben,0
92,"oh, eta to khub gurutar baper.",ben,0
93,"anekdiner janya bari sede yete amar bhalo lag na, kintu tomar mato kare khola mane chay dekhar cheshta karabo.",ben,0
94,"han, balun aapnake kibhave sahayya karte pari?",ben,0
95,"persvar prushthaposhakta ekadhik paryaton centra thek paryatakder janya kichu thakar jaga, resorts o hotel bhramanakarider thakate dewa o tathy pradaner janya evan nirdeshit bhramneroo vyavastha kare dewar janya chalano has.",ben,0
96,rajkot paunche parer din sakale aami swasthy aadhikariker kache hazira dii.,ben,0
97,satti asana sah ekakkshavisisht ekati cocos (keeling) dweep shayar parishader astitvao sekhane royas.,ben,0
98,"bil balte landline bil, vidyuter bil baa jaler biler katha balchi.",ben,0
99,aar agulo adate ekata chhuti mejaj nie aases.,ben,0
100,"vashishth evar raza dike firlen evan vinitavave ballen: ""raja,aponi ekabar pratishruti die ashwikar karale ta aapnar kshetre kharap have.",ben,0
101,"sangati laver bharsamgulii pratham, ekadik taala thackle seguli nagal pete evan khulte beshi samay vyaya have, evan dvitiyat sathik haowar yukti aro beshi jatil hay the.",ben,0
102,anekanshei eta audio-vijual.,ben,0
103,"tave, ekati drushye antarbhukt anchaler pariman bada sang sang meghmukta drushyer sambhavana comme yawar karna ei prayogti maulikbhave simit.",ben,0
104,"kailasnath ekata atyashcharya guha mandir, ya ellora 34ti prachin guhaar madhye ekata.",ben,0
105,shahur anchalti sabthek lakshanian vishyati halo bivinn dharner paribehan.,ben,0
106,"kintu esav to aar tomake balaar mato oake bala ya na, bandhu.",ben,0
107,sarvarah kara jal pan karaar pare keu asusth hay padese?,ben,0
108,achha. aar dvitishta - bhaskarya?,ben,0
109,wor swasthy vimata chhil star helath insurencer.,ben,0
110,airkam charam abhawa paristiter karna kirakam sanghatik avastha hate par ta dekhatao durbhagyajanak.,ben,0
111,"tumi masik, traimasik, chhaya masik baa barshik har premium dite paar.",ben,0
112,aami babar saathe katha bali.,ben,0
113,'son pari'-te amar tanke khub bhaal lagat.,ben,0
114,20sh shatabdeer vishwavyapi vruhattam banijyashilp hisabe evan 21sh shatabdite druttar vruddhir sambhavana nie paryatonshilp atmaprakash kareque.,ben,0
115,"oh, achha, seta kara yete par.",ben,0
116,"chinta koro na, 2to ticketer vyavastha valovavei hay yave.",ben,0
117,"ta chada, shudhumatra bharter naagarik halei bhotdaner yogyata thakave.",ben,0
118,abhijee abhinetader eksath abhinaya keman vishwasayogya parpharmance deya!,ben,0
119,"aar han, aponi ekajan olympian kintu taar janya aponi kii pan?",ben,0
120,"poorve, anyanyader madhye padam, pasy, miniung evan bokar-era mato aadir anek upajatir dekha mele.",ben,0
121,era madhye conta taka tolar counter?,ben,0
122,"achha, aami eta nishchalai khay dekhar cheshta karab.",ben,0
123,"irane internet pahara karna sarvada irani sarkar evan islamdharmian biplavi senavahini barabarai fesabuk, tuiter ityadir mato janapriya samaj madhyam iranider yogadaner virodhita kare gamee.",ben,0
124,baparta halo ye bivinn upa abalmban kare kivave vishaytake aro aakarshak kare tulte paro.,ben,0
125,"aguli madhye koekati usav halo ellora usav, puner ganesh usav, gharpuri usav, murud (raigarh)-e paryaton mahosav, evan anyanya.",ben,0
126,"tar pariwarer sanstha, cino-thai enginearing and kanstrakashan pi.si.el vyankker subarnabhumi bimanbandarer mato sarkarer besh koekati vruh prakalp nirman kareque.",ben,0
127,kamapakshe 15 thek 20ti kajer din.,ben,0
128,are keerat.,ben,0
129,"staitishil arthpradaner bharsamya, paryapt suder haar, evan yoth binioger janya bahiragat muldhaner ekati susthi pravah baja rakhte eti apariharya.",ben,0
130,tader barlok baba ach bale.,ben,0
131,tumi doctor strenz and multivaras af madness-era katha balach?,ben,0
132,"halo, aami vishwavidyalyer hostel thek jed scowar mal yawar janya gaddi book karaar bapar kal karchi.",ben,0
133,"pulish yakhanai eman amalyogya aparadher abhiyoger kono tathy pa, ekata ef.aai.aar dayer karata kartavya hay danda.",ben,0
134,aami ekati dhara begue newa nie khubi dvidhagrast.,ben,0
135,nehar shvashurbari bhave nikita maara gamee evan nikita upalvdhi kare ye taar samasya thek veronor ekata upa halo nehar parichay bhandie newa.,ben,0
136,ajkal aami ekatu vyast achi.,ben,0
137,"ji.aai nalite maanush o anyanya jantu pachantantrer samasth pradhan ang pratyang ach, yar madhye royas khadyanali, paksthali evan antra.",ben,0
138,"kintu, ta kichu bhalo mapakatio tiri kare dies.",ben,0
139,kono vyaktigat emael ide vyabhhar na kare kajer emael ide vyabhhar karale have to?,ben,0
140,"sabche bada katha hal, amra jaani na kakhan aar kibhave durbhagya amader darja kada narve.",ben,0
141,"chettinad randhanpranali halo tamilnadu rajyer chettinad anchaler nattukotai chettiyar, athva tader nijeder dewa naam anuyayi nagarattar named ekati sampradayer ek randhanpranali.",ben,0
142,"han, ta thik!",ben,0
143,"yehetu elakata janaganer sampatti, ye keu aste par evan khelte par.",ben,0
144,guhagulor deyal sunder chhabi aar mankada bhaskarya die sajano ya gautama buddher jivan sampark bale.,ben,0
145,baparta kintu serakam naya.,ben,0
146,"halo, tomake chintit mane hachche, ki baper?",ben,0
147,"han, ekajan shanta shishu anek beshi anandama.",ben,0
148,5ta pawa kathin haley anthat 2toor cheshta karte paro ki?,ben,0
149,"appler pracharak gai kawasaki brand nie ei gondamitic ""hatha pawa konokichu"" balle 2014-e aami vyakhya karechhilam ye appler panyer sang ""avishwasya ek vyaktigat sampark royas manusher"".",ben,0
150,tai ki?,ben,0
151,"1969-e gathit alada ekati paryaton vibhag thakale, maharashtra rajya paryaton unnayan nigam (em.ti.de.si) named paryaton pracharak ekati sarkaari sanstha 1975 sale pratishthit has.",ben,0
152,eter ekata khub takmato swado ach yar janya eta amar priya.,ben,0
153,"han, tar mayer dik thek.",ben,0
154,"amanki florida, arlando evan era ashepashe asankhya anyanya aakarshaner majheo mouse house khara hay dandie royas, era batigharti prati bashwar laksh laksh paryatakke ei anchaler prati aakrisht kare.",ben,0
155,eta bhalo idia.,ben,0
156,ei viracer aro bhayankar rup agami dine pratyashith.,ben,0
157,"darun, avashyai anshagrahan kara uchit tomar.",ben,0
158,"kintu kheladhulo chada ekhankar anaya kichute aagrah na thaka, setates jayen kerlam.",ben,0
159,eta bodhhoy amader saat nambar barer parikalpana.,ben,0
160,"khatarnaak kartab vaali film or romaanch vaali mardhaad kii film sabko pasand nahin aati thim: shikshit samooh inhen janaranjakwaadi, ashleel or bhrasht karne vaale prabhaav maanate the.",hin,1
161,"haan, wo aayojakon kii team main bhi he.",hin,1
162,"to, main is weekend free hoon.",hin,1
163,"in samaroh main se kuch hai ellora mahotsav, pune ganesh mahotsav, gharapuri mahotsav, murud (raigarh) main paryaton mahotsav tathaa or bhi.",hin,1
164,"or adhik samyata laane kii koshish main, main mat kii dar ko bahi laabh ke 10 pratishat kii vartmaan dar se badha kar 15 pratishat karne kaa prastaav detaa hoon.",hin,1
165,mujhe vah son pari main bahut acchhee lagati thi.,hin,1
166,ek baar aapane sanyukt rajya america main pehali upasthiti sthapit kar lee to puri tarah se kriyasheel america website pradaan karne se pehle mobile utpaada upyogkarta dwaara anubhav or nae graahak paane ke liye ek adhik aakraamak or adhik jokhim-bhari vipanan ranneeti amal main laane se pehle online store ke sthaneey brands ke halke sanskaran ko aarambh karne or seva tathaa pratishtha nirmaan par dhyaan dene main adhik bhalaai he.,hin,1
167,"kridaangan main olympic jhanda in aath purv olympic champiyanon ne chaaron ore ghumaya: bill roycroft, mure rose, liain tooth, gilian roltone, margeri jaikson, lauren crap, maaikel venden or nik green.",hin,1
168,uskaa istemaal karne ke baad kai gaanv waalon ko chamadi kii allergy bhi ho gai thi.,hin,1
169,hamaara desh apane bhootpurv sainikon ke prati bahut kritagya he.,hin,1
170,"yadhyapi raajnneetik vaataavaran main samskruti, vichaardhaaraein, samaji ruchiyan or dalon ke bich pratispardhaa sahit anya prabhaav bhi nirnay lene ko prabhavit karte hai.",hin,1
171,"aayush chikitsakon kii uplabdhta ke aadhaar par 18 main se 13 zilon (rajyon) main homeopathy, ayurveda, siddh or unani pranaaliyon ke aushadhiy nuskhe uplabdh the.",hin,1
172,doctor ne kuch din aaraam karne ke liye kaha he.,hin,1
173,"usee prakaar jab nakadi kii sakht kami ho, to aar.bi.ai. sarkari pratibhutiyaan kharidega or is prakaar arthvyavastha main dhan kii aapurti karegaa.",hin,1
174,"lekin bhoolanaa mat, aaj 12 baje ke kareeb tumhaari sit and drow pratiyogita bhi he.",hin,1
175,"1997 main epa.e.o. ne telefood shuru kiya jo sangeet samaaroh, khel-kud ke kaarykram or anya kriyaaon kaa abhiyaan tha jisase media, khyaati praapt vyaktiyon or logon kii chintaa karne vaale nagarikon ke samarthy ko kaam main laayaa ja sake or logon kii bhukh mitaane main madad mil sake.",hin,1
176,pahchaan ke liye aap apane aadhaar card yaa voter ai.di. yaa apane passport kii copy laa sakati hai.,hin,1
177,shuruyaat ke liye asamiya dish khaar acchhee he.,hin,1
178,"vashishtha ab raja kii ore ghume or dhire se bole: ""raja , aapako shobhaa nahin detaa ki aapane jis chiz kaa ek baar vachan diya tha usase aap mukar jaaen.",hin,1
179,is kshetra main mirch ke powder kaa upyog saavdhaanee se kiya jaataa he.,hin,1
180,"arakshit diwas par, srilankai khiladiyon ne pehle ballebaaji karke 222 ran banaae jinamein mahela jayavardhane or rasal ornald ne kramshah 77 or 56 ran banaae tathaa bhartiya zahir abbaas ne 44 ran dekar teen vikat liye.",hin,1
181,bharat mahaan vividhta or vaishamy kii bhoomi he.,hin,1
182,jab arjuna ladane se manaa kar dete hai to krishna ke dhairya kaa baandh tut jaataa he.,hin,1
183,agar main personal ke bajaay ofitial ai.di. kaa istemaal karuun to chalegaa kya?,hin,1
184,"inkaa mukhya rup se prayog ucch darje ke dhwani shakti pravardhakon or wireles cellular networko main aar.epa. shakti pravardhakon main kiya jaataa he , jaise ki 2ji, 3ji or 4ji main.",hin,1
185,main bhi.,hin,1
186,ve ekmaatr aise athlete hai jinhone asian khelon or rashtramandal khelon main 400 meter main swarna jeeta.,hin,1
187,yadi kisi ko bharat ke chunaav main vot daalana ho to unke paas bharat kii naagarikta honi chahie.,hin,1
188,agast 2006 main uttari grid ko bhi antaryojit kiya gaya jisase kendriya grid bana jo tulykaalik rup se joda gaya or ek hi aavriti par sanchaalan karata he.,hin,1
189,ekadam dil chahta he vaali feelings aa rahi hai.,hin,1
190,kya aap meri madad kar sakate hai?,hin,1
191,ham naregaa ke tahat adhikaar ke rup main prati din ru.100 kaa vaastavik mehtaanaa dene ke liye patibaddh hai.,hin,1
192,mujhe bhi apane liye time chahie.,hin,1
193,"rajya ne 1969 main paryaton ke liye ek alag vibhaag sthapit kiya tha lekin 1975 main paryaton ko badhaava dene ke liye ek sarkari nikaay, maharashtra paryaton vikaas nigam (em.tii.di.si.) sthapit kiya gaya.",hin,1
194,"acchhee saamaajik haisiyat vaali angrej mahilaayein gini-chuni hi thim; 1785 main apane chote bhai ko kanpur se ek patr main shalya-chikitsak jon stfort ne likhaa: yahan zyaadaatar auraten paison ke liye sambandh banane vaali, ludgat hill kii mahilaon kii topi kii dukaan se hai, or kuch to old druri (18veen sadi ke landan ke jane-maane veshyavriti sthal) se bhi hai.",hin,1
195,"nahin sar, vah to hamaare gaanv main maheenon se nahin aayaa.",hin,1
196,"jabaki lavnikaran zyaadaatar tateey kshetron or apekshaakrit naveen jalodhak maidaanon se sambandhit he, kshariyan adhiktar sthaliy tathaa apekshaakrit puraane jalodhak maidaanon main hota he.",hin,1
197,"oh, acha.",hin,1
198,sookhe grinder main yaa phir pathar ke moosal main iskaa churna bana len.,hin,1
199,aanton main 80–85% laabhakaari bacteria or 15–20% sambhavit rup se hanikaarak bacteria kaa anupaat aamtaur par saamaanya mana jaataa he or yah samasthiti banaae rakhata he.,hin,1
200,"kuch padyon main rahasyodghatan kaa tarika bataaya gaya he, jo he parishuddh chitt kaa zarathushtra main pravesh karnaa or use bataanaa ki vah maanav jati ko kya batayega.",hin,1
201,"pandurang ek hatyara he jise pehle bubbly ne gupt rup se ek naukar ke rup main bheja tha, jo samir ke sach ko jaan kar baad main gopal ke paksh main ho jaataa he or badmaashon ko maar kar bhaga detaa he, or antat yah ladaai dhokhe se bubbly dwaara gopal ke nitamb main chaaku maarane se samaapt hoti he, jiske kaaran vah thodi der main behosh ho jaataa he, lekin behosh hone se pehle vah madhav, lucky, or lakshmana ko chetavanee dena nahin bhuulataa ki ve chaaku ko haath na lagaaen, jisase unki hansee chhot jaati he.",hin,1
202,"lopez kaa daawa he ki ve bhi buddha shabd kaa prayog karte the, haalanki vidwaan richard kohen daawa karte hai ki is shabd kaa prayog keval baahar ke log buddha-dharmiyon kaa varnan karne ke liye karte the.",hin,1
203,tum keemat bhi concerm kar sakate ho kya?,hin,1
204,"prakriya ke bare main puri jaankaree hamaari kitaab se samajhi ja sakati he, zaraa use dekh len.",hin,1
205,mujhe bahut dinon tak ghar se baahar rahanaa pasand nahin he lekin main apana dimag khulaa rakhane kii or tumhaare nazariye se chizon ko dekhne kii koshish karuungi.,hin,1
206,"thik he phir, bataane ke liye shukriya.",hin,1
207,antarjaatiy parsparik sambandh ko protsaahit karne or rajya kii saanskrithik viraasat kaa prachaar karne ke liye disambar 2000 main nagaland kii sarkaar ne hornbill samaaroh shuru kiya.,hin,1
208,mujhe khushi he ki main madad kar sakaa.,hin,1
